agcnum,radeg,decdeg,vhel,sepmin
223733,187.4338,12.8056,  484, 47.0606
223735,187.4354,15.0244, 1318,145.7630
223736,187.4371,17.2875, 1318,277.7941
223734,187.4375, 5.9200,  887,410.9394
  7629,187.4446, 7.9997,  997,287.4040
223737,187.4471, 6.9653,  967,348.7882
  7631,187.4538,13.4292, 2236, 63.9571
222648,187.4633,13.8678, -335, 84.0409
223744,187.4704,11.9619,  399, 66.9966
  7634,187.4738,14.0683, 1624, 94.4350
223747,187.4779, 7.1381,  718,338.7851
224832,187.4900,13.4708, 1944, 67.1987
  7637,187.4958,12.3486, 1955, 55.2499
227861,187.4979, 8.4317,  627,262.4708
  7636,187.5025, 7.9292,  276,292.1601
  7638,187.5088,13.6361, 1355, 74.9200
224222,187.5108, 9.4031,  898,205.7774
220680,187.5208,17.3983, 2488,285.1837
220679,187.5212, 8.0733, 1350,283.8481
224521,187.5317,12.6086, 1103, 52.9957
  7640,187.5433,10.7786, 1850,128.3094
223017,187.5454,12.1953,  420, 62.0789
  7643,187.5704, 9.0847, 2015,225.1578
  7645,187.5725,12.3275, 1370, 59.8728
  7646,187.5762,13.5769,  858, 75.2055
223208,187.5850,14.1403,  697,101.5441
222164,187.6242,19.6731,  925,420.8820
220691,187.6333,12.4900, 1578, 60.1613
223776,187.6604,15.6072,  825,183.0632
  7650,187.6663,15.1297, -108,156.4144
  7649,187.6692, 9.0153,  881,230.6707
224281,187.6750, 5.8786, 2341,415.2575
223778,187.6867,13.7989, 1241, 89.1419
220697,187.6912,11.3431, 1665,103.4608
224462,187.6925,12.0992, 1162, 72.4442
223779,187.6971, 7.6056, 1572,313.3952
224522,187.7008,12.5864,  824, 62.9902
220704,187.7021,12.0450, 1250, 74.6513
223783,187.7033,13.2239,   77, 69.3699
  7654,187.7050,12.3914, 1292, 65.8031
  7653,187.7146, 8.3594,  990,269.4566
220709,187.7150,12.4386, 2925, 65.5622
  7655,187.7179,16.7583,  960,250.1515
223325,187.7317,14.7733, 2537,138.6578
220713,187.7346,12.3733, 2735, 67.7861
  7657,187.7379,11.4828,  497, 98.6478
224523,187.7392,12.4292,  698, 67.0771
  7658,187.7408,12.2703,  450, 70.2960
  7656,187.7488, 8.0775, 1802,286.3836
223326,187.7508,15.7308, 1496,191.8002
223791,187.7546, 7.7233, 1251,307.1856
742408,187.7592,18.0033, 2075,323.4330
224524,187.7688,11.9436,  824, 81.3067
742410,187.7883,18.2197, 1518,336.4842
223796,187.7933,13.0972, 1540, 71.4221
224525,187.7996,12.6836, 1159, 68.2635
220721,187.8154,12.3317, 1814, 73.0720
223327,187.8204,13.8281,  187, 95.8955
221573,187.8308,12.7381,  353, 70.0504
223029,187.8317,12.6117, 1850, 70.4280
220722,187.8342,14.1153, 1332,109.0149
220724,187.8454,11.4925, 1251,102.4756
223328,187.8467,17.2064, 1363,278.0300
220726,187.8600, 7.8539, 1420,300.9728
224526,187.8683,12.4175, 2041, 74.5720
223031,187.8821,11.6031, 1838, 99.3676
  7665,187.8854,11.6242, 1098, 98.6586
223032,187.8892,12.0639,  777, 83.5110
  7666,187.9075,14.8594, 2559,148.1138
220731,187.9129,10.8400,  633,135.6711
  7669,187.9146,16.8519, 1506,258.6300
  7672,187.9646,12.6564, 1297, 77.9866
220733,187.9662,12.4811,  723, 79.3474
220729,187.9704,12.2664,  790, 82.9404
221672,187.9746,14.3064,  470,123.0513
  7676,187.9783,15.1233, 2100,163.9208
222514,187.9821, 8.6022, 1036,259.7042
  7674,187.9829,12.1733,  278, 85.6367
742428,187.9962,18.3475, 1836,346.5273
  7675,187.9971,14.4200, 2321,129.1786
223040,188.0033,12.6203,  471, 80.3956
220738,188.0113,11.8900, 1038, 94.9535
  7677,188.0133,16.6869, 1629,250.9404
224527,188.0179,12.3417, 1607, 84.2235
220739,188.0238,11.8178,  902, 97.9223
  7680,188.0263,11.1764, 1359,123.6516
220742,188.0367, 8.0394,  609,292.9457
223827,188.0396,15.3014, 1604,175.0063
  7682,188.0438,13.4194,  532, 92.3833
220741,188.0517,12.0611, 1022, 92.0821
  7681,188.0592,10.2511, 1372,170.3455
224528,188.0608,12.0514, 1216, 92.8204
  7684,188.0796,18.2447,  826,341.6753
220745,188.0950,16.0186, -132,215.1937
220748,188.0975,11.2628, 1505,122.6922
220746,188.0979,11.8933, 1110, 99.2086
220747,188.0988,12.2864, 1514, 89.7101
223832,188.1067, 5.6558, 1143,432.8966
  7688,188.1350, 8.0450,  609,294.3191
220749,188.1392,15.4153,  414,183.7561
220751,188.1396, 9.1736, 1230,230.6875
223837,188.1492, 8.0925,  820,291.8557
223330,188.1496, 9.8867, 1769,192.1221
222168,188.1508,18.0225,  901,329.8468
223838,188.1517, 5.3875,  894,449.2093
223840,188.1621,10.0919, 1224,181.6494
220752,188.1654,18.0125,  881,329.4947
  7692,188.1700,12.7714, 2307, 89.9356
  7695,188.1746,14.0503, -169,120.1158
223843,188.1775,15.9097, 1171,211.2070
226403,188.1783,15.0361, 1299,165.3851
  7696,188.1842,14.1958, 1970,126.4552
220755,188.1958, 7.7994, 1339,309.4612
  7701,188.2712,16.2653, 1018,232.8388
  7703,188.2817,14.5747,  958,146.8745
223854,188.2879,10.8342, 1956,149.2649
220768,188.2913,11.3469,  129,127.5684
220770,188.3058, 9.3972, 1079,222.5030
220775,188.3079,12.8575, 1954, 98.2749
220771,188.3079,10.9286,  248,145.7877
  7707,188.3267,17.4592, 1175,300.6013
221858,188.3283, 9.1206, 1302,238.0745
220774,188.3321,12.8533, -571, 99.6648
223858,188.3371, 7.8544, 2141,308.9211
221609,188.3529, 8.6908, 1434,262.2880
223332,188.3604, 6.6164, 1786,380.3458
  7709,188.3763, 8.6542, 1229,264.8514
223863,188.3838, 9.4600,  817,221.2251
221577,188.3938,11.2617,  762,135.4770
220784,188.4071, 7.8714,  532,309.3318
  7711,188.4154, 9.1750, 2316,237.3312
224749,188.4179,12.7372, 1152,104.4071
223867,188.4258, 7.7831,  459,314.6992
  7712,188.4375,10.9950, 1226,148.2005
  7713,188.4504,15.1689,  262,180.8930
223869,188.4529,12.7800, 1127,106.4982
220787,188.4650,13.3225, 1608,112.9165
223870,188.4821, 5.7189, 1749,434.2475
223871,188.4833,10.5781,  461,168.4376
  7716,188.4863,15.3544, 2326,191.1803
  7718,188.5129, 7.6992,  602,321.1870
  7722,188.5254,11.3208, 1374,139.2739
222764,188.5279,12.7417, 1491,110.8464
220792,188.5479,12.0489, 2073,119.2313
  7728,188.5621,11.0711, 1375,150.4547
  7729,188.5662,13.0750,  195,114.9651
223877,188.5679,16.0578,  457,229.4838
  7726,188.5813, 6.4672, 2010,392.6091
  7727,188.5846, 8.1975, 1966,294.9010
223075,188.6267,11.7344,  986,131.0378
  7733,188.6283, 9.1547,  437,244.2032
  7734,188.6300, 9.6225, 1440,220.0166
220799,188.6325,13.5036,  799,125.8234
222757,188.6342,16.0325,  740,230.0864
  7735,188.6446,18.2025, 1287,348.7052
223883,188.6600,15.6028,  447,209.1503
  7736,188.6646, 7.1586,  595,354.7585
  7739,188.6871, 6.3000, 1997,404.0557
223885,188.6879,16.0242,  859,231.2526
  7737,188.6912,15.2203,  661,191.8232
220808,188.7050,17.8144, 1115,328.1466
223887,188.7063, 6.8361,  732,373.8427
  7742,188.7117,15.5511, 1286,208.3340
220812,188.7537, 9.1861, 1286,246.2126
223894,188.7825,13.5644,  735,135.3030
223895,188.7842,13.4853, 1773,133.7136
220815,188.8075,10.4317, 1077,187.6699
223082,188.8112,12.2375,  748,130.8314
220817,188.8342, 6.1150, 2399,417.2959
  7753,188.8604,14.4958,  550,167.8385
220818,188.8633,12.7503,  733,130.4785
  7757,188.8775,12.2203,  381,134.8492
220819,188.8787, 6.3339, 1607,405.6816
223903,188.8833,16.6122, 2134,267.3801
220820,188.9050,12.3819,  249,134.5667
  7759,188.9087,12.2636, 1198,136.0725
  7760,188.9162,12.5564,  322,133.9892
223094,188.9396,12.1814,  800,138.9335
220828,188.9662,13.8583,  756,152.2705
223095,188.9712,11.6819, 1330,150.6253
223913,189.0117, 7.2000, 1038,359.9152
  7768,189.0338,19.3228, 1407,419.4413
220832,189.0442, 9.9225, 2049,219.8530
222758,189.1033,10.3844, 1400,201.8796
  7773,189.1121,11.4383, 1165,164.5572
742499,189.1217,18.3003,  884,364.2067
223336,189.1254,13.5425, 1414,153.6531
222759,189.1275,13.6383,  600,155.6758
223923,189.1342,13.7481,  868,158.4465
  7777,189.1363,11.2575, 2186,171.1668
  7776,189.1429,11.2381, 2232,172.1081
220837,189.1454, 8.0547, 1795,316.8725
223926,189.1529,14.2258,   44,172.4260
  7781,189.1567, 6.6203, 1075,395.3681
  7782,189.1642,11.1011,  666,177.5739
  7784,189.1817,13.2592, 1122,152.3806
223927,189.1954,14.7392,  532,192.1440
  7786,189.2083,13.1625, -223,152.8276
223337,189.2129,12.9589,  559,151.5271
  7785,189.2229, 7.2461, 1750,362.4511
220842,189.2283,12.5203, 1547,152.3843
  7788,189.2350,14.2169,  343,176.2566
  7790,189.2629, 6.9264, 1634,380.9145
223111,189.3425,12.2869,  458,160.7962
223942,189.3687, 8.7942,  888,285.5569
223112,189.3708,12.3531, 1454,161.8225
  7793,189.3775, 9.5544, 2284,249.4407
223944,189.3929, 8.4819, 1580,302.0138
220849,189.4217, 8.5592, 1033,299.0377
  7796,189.4312,11.8181, 1502,172.7525
742515,189.4321,18.2656, 2568,369.7841
  7795,189.4388, 7.1039,   64,375.6650
742516,189.4412,18.2972, 2550,371.7185
220855,189.5283,10.0822, 1279,232.5476
220856,189.5283,10.1650, 1150,229.1747
223957,189.5404,13.5808,  690,177.4367
220860,189.5646, 6.9944, -117,384.8674
220863,189.5658,14.8697,  737,213.9401
  7803,189.5746,13.1100, 1737,173.5298
  7802,189.5871, 7.8908, 1769,338.2734
224841,189.6208,13.4239,  974,179.5567
223962,189.6521, 6.5033, 1460,413.6498
223964,189.6575, 9.6769, 1471,255.0720
  7817,189.7667,13.3631, 2750,187.0918
  7814,189.7700,14.7308, 1313,218.9039
223969,189.7987, 8.0725, 1636,335.7351
  7821,189.8017, 6.0122, 2450,444.1241
220881,189.8083,15.6258,   57,253.8222
223126,189.8154,11.2697, 1545,206.0668
  7822,189.8525, 7.9644, 2079,342.9048
223127,189.8629,11.7764, 1228,197.6557
223976,189.8750,12.6808,  596,189.7161
220890,189.9071,10.9756, 1335,218.9291
220893,189.9171, 9.3989, 1898,277.7437
223981,189.9283,13.6075, 1036,199.6434
  7825,189.9500,12.9736, 2839,194.5584
  7826,189.9667,15.2975,  616,247.9782
224288,189.9813, 9.9222, 1376,258.8638
  7828,189.9833,10.1756, 1870,249.2948
220901,189.9937,13.7814, 1010,206.2318
220903,190.0433, 6.8467, 1012,406.0907
220904,190.0467, 9.8961, 2023,262.8179
  7829,190.0500, 8.3833, 1961,329.2041
  7830,190.0558,12.8742, 1517,200.4129
223989,190.0733, 6.7314,  925,412.9954
220909,190.0817,14.7150, 1927,233.8031
220908,190.0821,15.9353, 1679,278.0537
  7834,190.2212,10.4753,  634,250.2685
  7839,190.2400,11.9108, 1645,216.9206
  7838,190.2442,11.1839,  470,231.1520
224290,190.2546, 9.7183, 1406,279.0926
  7843,190.3017,11.8858, 2222,220.7909
  7842,190.3058,10.1553, 1864,265.2422
223143,190.3137,11.2986, 1617,232.2401
220921,190.3154,11.3875,  603,230.3902
220925,190.3358,14.7006,   45,246.2380
222198,190.3521,12.1756, 1159,220.2992
742551,190.3558,19.2214,  479,445.0316
223342,190.3725,10.7631,  138,249.1056
  7850,190.3867, 7.3139, 1884,393.0049
220930,190.4142,12.2475, 1072,223.2738
  7855,190.4450,11.4878, 1227,235.5324
223147,190.4537,11.1914, 1016,242.3053
  7854,190.4667, 9.4025, 1032,301.0157
  7857,190.4763,13.7722,   18,233.0577
220934,190.4775, 9.5844, 1731,294.3427
  7859,190.4975,12.9422, 1156,226.4006
  7858,190.5096,11.6456,  444,236.3056
222515,190.5112,15.6364,  314,285.3300
  7863,190.5358,11.7536,  206,236.0619
  7864,190.5379,12.5961, -169,228.6653
  7862,190.5450, 7.6758, 1788,380.7968
224023,190.5758,10.5675, 1869,265.2846
742559,190.5858,17.5097, 1218,367.2121
223153,190.6104,11.7400, 1161,240.5076
  7874,190.6542,14.3556,  304,254.1308
  7875,190.6696,14.2969,  144,253.6583
220941,190.6704,13.2664, 1100,238.2207
220944,190.6871, 7.3389, 2409,402.0656
220946,190.6917, 9.5108,  959,306.9139
  7880,190.6975,11.4422, 1148,250.4799
713005,190.7000,12.9900, 1094,238.3799
223157,190.7112,12.3083, 1703,240.1105
  7884,190.7183,13.2567,  983,240.9227
  7888,190.7408,12.2864, 2077,241.9831
220954,190.7417,10.6819, 1672,270.6156
224031,190.7500,16.0872,  814,312.9504
223159,190.7592,11.6981, 1142,249.5986
220956,190.7813, 7.6547, 1308,390.4002
  7889,190.7821,12.0506, 2012,246.4125
224033,190.7842,14.5200, 1218,264.9237
224034,190.7929,11.0367, 1049,264.3104
220966,190.8712,10.0928, 1325,294.9546
223166,190.8787,11.0472, 1376,268.7307
  7896,190.8854,11.5817, 1450,258.5930
224040,190.8979,10.7558,  334,276.8839
  7898,190.9171,11.5525, 1116,260.8635
  7901,190.9275,16.3931,  794,332.6135
224041,190.9500, 8.7606, 1774,348.1727
220970,190.9625,11.4669,  938,264.8832
224042,190.9721,10.7456, 1341,281.0951
742572,190.9758,16.5472, 1211,340.8098
  7902,190.9858,13.1264, 1044,255.6389
224044,191.0179,13.2497,  535,258.2441
223170,191.0392,11.1767, 1681,274.7124
  7906,191.0400,12.1153, 1010,260.7320
220977,191.0500,12.9419,  940,258.6726
  7915,191.1221,13.4981,  510,266.3510
  7914,191.1333,11.1900, 1115,279.6511
  7920,191.1892,12.3503,  849,267.7257
  7919,191.1975,12.0644, 1599,270.3274
220987,191.1979, 8.1072, 1876,386.2510
229323,191.2158,16.4183,  965,346.2952
  7927,191.2733,10.9006, 1087,293.5735
224049,191.2904,10.6303,  944,301.0209
220990,191.2992,10.3242, 2545,309.7168
224051,191.3133, 7.6153, 1304,412.5915
220993,191.3346,13.6933, 1895,280.6710
  7932,191.3821,13.3311,  872,279.9352
734818,191.3887,10.4903,  969,309.8808
221618,191.4058,13.3283,   54,281.2923
224057,191.4175, 9.4064, 1295,344.8389
226488,191.4379,12.2358, 1606,282.9337
221000,191.5183, 8.4761, 1483,384.5314
221001,191.5329,10.1636, 1500,326.4368
221004,191.5637,10.2056, 1140,326.8486
  7942,191.6596, 9.3067, 1765,359.9860
223344,191.7313,10.1822, 1309,336.2566
  7952,191.8133,10.2031, 1095,339.9981
  7953,191.8179,11.7606, 1091,309.3911
221016,191.8358,12.1664, 1193,306.5950
224066,191.9138, 9.1575, 1584,377.4483
224067,191.9350,12.1325, 1926,312.6146
  7965,191.9400,13.7625, 1610,316.0980
221026,191.9996,10.9708, 1146,332.1363
  7969,192.0625,10.9833, 1185,335.4015
  7970,192.0954, 8.4875, 1008,410.2043
221027,192.1125,10.5581, 1169,347.1415
223197,192.1821,11.9694, 2097,328.3066
224079,192.2433,10.5864, 1512,353.6475
224873,192.2983,14.7528, 1599,351.8583
  7980,192.4112,15.1650, 1129,366.9068
221051,192.5604,10.5400,  892,372.0688
226014,192.6308,17.4719,  844,449.1964
225857,192.7479, 9.0775, 1143,421.3616
223205,192.7783,12.0600, 1788,362.2528
  7997,192.7783,10.9117,  905,376.8346
  8001,192.8513,10.5794, 1592,387.2962
221071,192.9229,13.0950, 1501,368.4653
  8007,192.9796,12.0828, 1783,373.8173
734899,192.9821, 8.8781, 1125,439.4735
  8010,193.0729,11.3139, 1374,387.1906
221080,193.1425,12.2578, 1801,382.2767
  8014,193.1838,15.8483, 1244,424.4347
  8016,193.2329,11.2303, 1006,397.5157
221085,193.2463,14.4006, 1047,398.5639
  8022,193.4617, 9.7097, 2826,440.5795
225850,193.5092, 9.4472, 1496,449.9415
  8032,193.6842,13.2372, 1147,413.3390
224902,193.6929,15.5917, 2638,445.2203
