agcnum,radeg,decdeg,vhel,sepmin
223352,184.0658,14.2406,  270,175.3348
226180,184.0858,14.7739,  510,192.8584
  7291,184.0946,13.3075,  222,152.5359
226296,184.1038, 7.4878, 2232,347.8337
224250,184.1125, 6.0519, 2021,427.1572
220277,184.1404,13.0317,   65,147.0227
  7292,184.1408, 7.4622, 2651,348.2903
224251,184.1417,10.2061, 2095,210.4280
223360,184.1467, 7.0417, 2305,371.2093
222200,184.1988, 8.0489, 2564,315.1085
224385,184.2079,13.5039,  -87,149.3097
742160,184.2108,18.3392, 1005,364.9002
220282,184.2183,14.5153, 1208,177.2144
  7305,184.2333,13.6250, -156,150.3275
221836,184.2429,12.2636, 2074,142.7538
220285,184.2546, 9.4075, 1281,243.3065
  7307,184.2683,10.0050, 1212,214.3723
  7312,184.2725,12.2889,  474,140.7579
225056,184.2800, 7.7339, 2259,330.0221
  7311,184.2817, 7.6239, 2371,335.9883
  7313,184.2883,12.4533, 2133,138.3055
  7310,184.2908, 7.1911, 2596,359.6175
220289,184.2946, 6.4317, 2070,402.0285
  7315,184.2975,15.3236,  915,206.9851
  7314,184.3104, 8.9419, 1290,264.9705
  7316,184.3125,16.5308,  946,265.2447
220293,184.3317,11.9433, 1490,142.8282
  7319,184.3571, 6.6897, 2235,386.2075
223373,184.3604,13.7369, 1384,146.0640
224489,184.3671,12.9322, 2068,133.2122
223306,184.3704, 8.5331, 1415,284.6218
221721,184.3779, 6.6975, 2291,385.3419
220295,184.3792,17.6461,  865,322.9365
224611,184.3804,11.9544,  395,139.9077
  7326,184.3896,12.3861, -164,132.9890
224253,184.4221, 5.6206, 2645,445.8060
224254,184.4367, 6.0825, 2467,419.0986
224255,184.4417, 6.1392, 2980,415.7725
220305,184.4696,13.1767, 1664,129.4552
224257,184.4817, 6.1125, 2543,416.5649
220310,184.4975, 5.5986, 2691,445.7786
  7333,184.4992, 6.6539,  733,385.3944
224316,184.5179,14.7531, 1564,173.3354
225057,184.5204, 7.7458, 2172,323.6409
222112,184.5283, 5.6844, 2550,440.3189
