"epseason","epnum","epname","Chandler","Joey","Monica","Phoebe","Rachel","Ross"
7,3,"The One with Phoebe's Cookies",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7,3,"The One with Phoebe's Cookies",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
7,3,"The One with Phoebe's Cookies",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
7,4,"The One with Rachel's Assistant",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,4,"The One with Rachel's Assistant",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
7,4,"The One with Rachel's Assistant",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7,5,"The One with the Engagement Picture",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,5,"The One with the Engagement Picture",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
7,5,"The One with the Engagement Picture",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
7,6,"The One with the Nap Partners",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,6,"The One with the Nap Partners",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
7,6,"The One with the Nap Partners",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
7,7,"The One with Ross's Library Book",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,7,"The One with Ross's Library Book",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,7,"The One with Ross's Library Book",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
7,8,"The One Where Chandler Doesn't Like Dogs",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7,8,"The One Where Chandler Doesn't Like Dogs",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,8,"The One Where Chandler Doesn't Like Dogs",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,9,"The One with All the Candy",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,9,"The One with All the Candy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,9,"The One with All the Candy",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
7,10,"The One with the Holiday Armadillo",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,10,"The One with the Holiday Armadillo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7,11,"The One with All the Cheesecakes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,11,"The One with All the Cheesecakes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,11,"The One with All the Cheesecakes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
7,12,"The One Where They're Up All Night",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,12,"The One Where They're Up All Night",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,12,"The One Where They're Up All Night",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,12,"The One Where They're Up All Night",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
7,13,"The One Where Rosita Dies",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,13,"The One Where Rosita Dies",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7,13,"The One Where Rosita Dies",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
7,14,"The One Where They All Turn Thirty",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,15,"The One with Joey's New Brain",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,15,"The One with Joey's New Brain",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,15,"The One with Joey's New Brain",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7,16,"The One with the Truth About London",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,16,"The One with the Truth About London",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,16,"The One with the Truth About London",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
7,17,"The One with the Cheap Wedding Dress",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,17,"The One with the Cheap Wedding Dress",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
7,18,"The One with Joey's Award",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,18,"The One with Joey's Award",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,19,"The One with Ross and Monica's Cousin",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
7,19,"The One with Ross and Monica's Cousin",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
7,20,"The One with Rachel's Big Kiss",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
7,20,"The One with Rachel's Big Kiss",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7,21,"The One with the Vows",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,22,"The One with Chandler's Dad",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,22,"The One with Chandler's Dad",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
7,22,"The One with Chandler's Dad",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
7,23,"The One with Monica and Chandler's Wedding: Part 1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,23,"The One with Monica and Chandler's Wedding: Part 1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,23,"The One with Monica and Chandler's Wedding: Part 1",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,24,"The One with Monica and Chandler's Wedding: Part 2",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,24,"The One with Monica and Chandler's Wedding: Part 2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,24,"The One with Monica and Chandler's Wedding: Part 2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,1,"The One After I Do",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8,1,"The One After I Do",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8,1,"The One After I Do",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
8,2,"The One with the Red Sweater",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
8,2,"The One with the Red Sweater",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8,3,"The One Where Rachel Tells...",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,3,"The One Where Rachel Tells...",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,3,"The One Where Rachel Tells...",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
8,4,"The One with the Videotape",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,4,"The One with the Videotape",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,5,"The One with Rachel's Date",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8,5,"The One with Rachel's Date",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,5,"The One with Rachel's Date",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,6,"The One with the Halloween Party",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,6,"The One with the Halloween Party",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,6,"The One with the Halloween Party",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8,7,"The One with the Stain",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,7,"The One with the Stain",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,7,"The One with the Stain",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,7,"The One with the Stain",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,8,"The One with the Stripper",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,8,"The One with the Stripper",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,9,"The One with the Rumor",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8,9,"The One with the Rumor",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
8,9,"The One with the Rumor",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
